Type,Source URL,Destination URL,Status Code/Redirect Type
Block/Status,"/chandi-devi-temple-vip-darshan-haridwar","/404",404
Block/Status,"/Effortless","/404",404
Block/Status,"/add-ons","/404",404
Block/Status,"/orchid-grid-2","/404",404
Block/Status,"/lotus-grid-2","/404",404
Block/Status,"/ttbm_places/alexanderplatz-alexa","/404",404
Block/Status,"/ttbm_places/rotes-rathaus-neptune-fountain","/404",404
Block/Status,"/ttbm_guide/sumon","/404",404
Block/Status,"/category/uncategorized","/404",404
Block/Status,"/pages-2","/404",404
Block/Status,"/elementor-hf/home1-2","/404",404
Block/Status,"/ttbm_places/brandenburger-tor","/404",404
Block/Status,"/crm-logout","/404",404
Block/Status,"/yatra_testing","/404",404
Block/Status,"/testing","/404",404
Block/Status,"/wp-content/plugins/(.*)","/404",404
